"date","mst_length"
"04/2013",16.7263513056825
"05/2013",18.1585617150684
"06/2013",14.7567670635387
"07/2013",17.4833520722314
"08/2013",17.2811038936334
"09/2013",17.0663355724403
"10/2013",18.3564230794135
"11/2013",17.9786078015136
"12/2013",17.4578344063421
"01/2014",16.9120921514817
"02/2014",17.3258612205009
"03/2014",15.7697513307615
"04/2014",18.6189924164232
"05/2014",19.8748806428562
"06/2014",20.1688221918629
"07/2014",18.4767609727317
"08/2014",18.5195344403794
"09/2014",20.1330774352217
"10/2014",16.7664518664103
"11/2014",19.3022337832869
"12/2014",15.7641357785379
"01/2015",16.5992907560565
"02/2015",18.850587799804
"03/2015",18.2579169675286
"04/2015",18.0606513412649
"05/2015",17.9664787969688
"06/2015",15.8829501700972
"07/2015",15.7876297980102
"08/2015",12.6192531039202
"09/2015",14.4919175464871
"10/2015",16.3032705308707
"11/2015",17.2297509841098
"12/2015",15.2800695113245
"01/2016",13.3779128847719
"02/2016",15.0371866233425
"03/2016",16.3985536133422
"04/2016",16.3400311847497
"05/2016",17.2157265251387
"06/2016",12.9494010643706
"07/2016",17.2109481943016
"08/2016",17.5102079904607
"09/2016",14.7809495326341
"10/2016",17.9577730435697
"11/2016",15.480850143505
"12/2016",18.2600061888015
"01/2017",17.9215056859316
"02/2017",18.9881128005582
"03/2017",16.9026661908145
"04/2017",18.2131130713739
"05/2017",17.5550911693632
"06/2017",18.9033666437207
"07/2017",18.6612498429346
"08/2017",17.2102143342102
"09/2017",19.0736953100398
"10/2017",20.5749181179173
"11/2017",18.7984884936635
"12/2017",18.9496155332555
"01/2018",18.5699946165746
"02/2018",13.813617964573
"03/2018",15.8246917668667
"04/2018",16.4753745869079
"05/2018",18.7581347752998
"06/2018",17.6386670385361
"07/2018",18.4060624120068
"08/2018",16.8989006380519
"09/2018",17.9544151751104
"10/2018",16.1306826638991
"11/2018",16.8982880428654
"12/2018",15.2598228754118
"01/2019",16.658957496623
"02/2019",18.0824592413585
"03/2019",16.667866665545
"04/2019",12.8182175919193
