"date","PMFG_length"
"07/2013",45.6423294928091
"08/2013",43.5644861225318
"09/2013",44.7140954577693
"10/2013",48.7824367742649
"11/2013",49.2728878404947
"12/2013",44.1120535851204
"01/2014",42.4802505348397
"02/2014",43.1101279057545
"03/2014",40.4994832578574
"04/2014",47.1135425104417
"05/2014",57.3398361870489
"06/2014",54.4123020450694
"07/2014",50.7577383037204
"08/2014",46.2570075523481
"09/2014",52.4616238425564
"10/2014",40.2774929153051
"11/2014",51.9929221500566
"12/2014",40.1061714141462
"01/2015",40.9760068524838
"02/2015",56.3401271012952
"03/2015",47.2195789020414
"04/2015",47.8581933106984
"05/2015",52.6661160188595
"06/2015",40.1386631109416
"07/2015",39.5072591359678
"08/2015",29.0266643370318
"09/2015",35.38521507452
"10/2015",39.7938473008092
"11/2015",44.4316216952293
"12/2015",38.2114639643528
"01/2016",32.9618126875762
"02/2016",37.7705855075064
"03/2016",42.3451563749497
"04/2016",41.9283532850334
"05/2016",44.346452874261
"06/2016",29.4996692220696
"07/2016",44.2420621981253
"08/2016",47.2657497730352
"09/2016",37.5781978643951
"10/2016",48.3584576544556
"11/2016",40.5515862821121
"12/2016",49.1025653072899
"01/2017",48.0178645463944
"02/2017",48.93663780368
"03/2017",43.6286525663339
"04/2017",46.5346565837556
"05/2017",45.4264366670257
"06/2017",50.923276688986
"07/2017",49.5104744657205
"08/2017",43.7949909248494
"09/2017",49.8391995518763
"10/2017",59.971645295397
"11/2017",50.5567343083646
"12/2017",50.2045357030003
"01/2018",48.4426862821316
"02/2018",35.0386709724205
"03/2018",40.097067801618
"04/2018",42.3918509373713
"05/2018",51.4287631247551
"06/2018",47.6266427465595
"07/2018",49.7893491509482
"08/2018",44.5048916737218
"09/2018",48.6666652589603
"10/2018",38.2441099841992
"11/2018",45.5750282322074
"12/2018",39.0928895523857
"01/2019",44.2559574910873
"02/2019",47.5522855827306
"03/2019",43.3916875458833
"04/2019",55.2079944736432
"05/2019",45.7634729663572
"06/2019",46.4579604340587
"07/2019",53.8882326974979
"08/2019",35.846103922713
"09/2019",48.5381738458192
