"ACWI","SPX","LGTRTRUU","LGDRTRUU","LG30TRUU","CCMP","SPTSX","MEXBOL","IBOV","IPSA","MERVAL","IGBVL","FTSE.100","CAC.40","DAX","IBEX","FTSEMIB","AEX","OMX","RTS","SMI","NKY","HSI","KOSPI","TWSE","JCI","FBMKLCI","ASX","NZSE","STI","CL1","HG1","GOLD","S1","mandy"
-0.625491359725573,-0.655481773901393,-0.689009238476659,-0.689009238476659,-0.655481773901393,-0.6765259604935,-0.585952618303551,-0.689009238476659,-0.625491359725573,-0.6765259604935,-0.689009238476659,-0.625491359725573,-0.6765259604935,-0.6765259604935,-0.6765259604935,-0.6765259604935,-0.693147180559945,-0.655481773901393,-0.655481773901393,-0.689009238476659,-0.625491359725573,-0.655481773901393,-0.625491359725573,-0.625491359725573,-0.655481773901393,-0.693147180559945,-0.655481773901393,-0.689009238476659,-0.6765259604935,-0.693147180559945,-0.689009238476659,-0.535959889216217,-0.6765259604935,-0.6765259604935,"11/2001"
-0.688138813713588,-0.688138813713588,-0.610864302054894,-0.673011667009257,-0.688138813713588,-0.673011667009257,-0.673011667009257,-0.647446639034633,-0.693147180559945,-0.693147180559945,-0.500402423538188,-0.693147180559945,-0.693147180559945,-0.693147180559945,-0.688138813713588,-0.693147180559945,-0.688138813713588,-0.673011667009257,-0.688138813713588,-0.562335144618808,-0.688138813713588,-0.688138813713588,-0.673011667009257,-0.673011667009257,-0.673011667009257,-0.562335144618808,-0.325082973391448,-0.688138813713588,-0.693147180559945,-0.673011667009257,-0.688138813713588,-0.673011667009257,-0.693147180559945,-0.688138813713588,"12/2001"
-0.689009238476659,-0.689009238476659,-0.693147180559945,-0.689009238476659,-0.6765259604935,-0.6765259604935,-0.6765259604935,-0.689009238476659,-0.689009238476659,-0.689009238476659,-0.535959889216217,-0.585952618303551,-0.689009238476659,-0.693147180559945,-0.689009238476659,-0.693147180559945,-0.6765259604935,-0.6765259604935,-0.655481773901393,-0.625491359725573,-0.693147180559945,-0.689009238476659,-0.655481773901393,-0.6765259604935,-0.6765259604935,-0.585952618303551,-0.6765259604935,-0.6765259604935,-0.585952618303551,-0.655481773901393,-0.689009238476659,-0.693147180559945,-0.689009238476659,-0.6765259604935,"01/2002"
-0.693147180559945,-0.673011667009257,-0.673011667009257,-0.673011667009257,-0.688138813713588,-0.647446639034633,-0.688138813713588,-0.647446639034633,-0.688138813713588,-0.688138813713588,-0.688138813713588,-0.673011667009257,-0.693147180559945,-0.693147180559945,-0.688138813713588,-0.693147180559945,-0.688138813713588,-0.688138813713588,-0.688138813713588,-0.688138813713588,-0.688138813713588,-0.688138813713588,-0.688138813713588,-0.673011667009257,-0.688138813713588,-0.693147180559945,-0.688138813713588,-0.688138813713588,-0.688138813713588,-0.693147180559945,-0.673011667009257,-0.688138813713588,-0.693147180559945,-0.688138813713588,"02/2002"
-0.673011667009257,-0.688138813713588,-0.673011667009257,-0.647446639034633,-0.500402423538188,-0.673011667009257,-0.693147180559945,-0.647446639034633,-0.647446639034633,-0.688138813713588,-0.647446639034633,-0.688138813713588,-0.688138813713588,-0.673011667009257,-0.673011667009257,-0.688138813713588,-0.673011667009257,-0.610864302054894,-0.693147180559945,-0.610864302054894,-0.647446639034633,-0.673011667009257,-0.688138813713588,-0.610864302054894,-0.693147180559945,-0.647446639034633,-0.610864302054894,-0.688138813713588,-0.693147180559945,-0.688138813713588,-0.647446639034633,-0.688138813713588,-0.688138813713588,-0.647446639034633,"03/2002"
-0.585952618303551,-0.625491359725573,-0.585952618303551,-0.625491359725573,-0.474139313057837,-0.655481773901393,-0.6765259604935,-0.689009238476659,-0.6765259604935,-0.689009238476659,-0.6765259604935,-0.6765259604935,-0.693147180559945,-0.689009238476659,-0.6765259604935,-0.689009238476659,-0.689009238476659,-0.689009238476659,-0.6765259604935,-0.689009238476659,-0.693147180559945,-0.693147180559945,-0.6765259604935,-0.693147180559945,-0.693147180559945,-0.625491359725573,-0.625491359725573,-0.693147180559945,-0.693147180559945,-0.689009238476659,-0.6765259604935,-0.6765259604935,-0.689009238476659,-0.6765259604935,"04/2002"
-0.669327963292645,-0.684616277801305,-0.646090505060809,-0.646090505060809,-0.669327963292645,-0.684616277801305,-0.646090505060809,-0.692201702962277,-0.646090505060809,-0.692201702962277,-0.52358633748126,-0.692201702962277,-0.684616277801305,-0.669327963292645,-0.646090505060809,-0.692201702962277,-0.646090505060809,-0.684616277801305,-0.684616277801305,-0.646090505060809,-0.684616277801305,-0.684616277801305,-0.692201702962277,-0.684616277801305,-0.684616277801305,-0.646090505060809,-0.669327963292645,-0.692201702962277,-0.684616277801305,-0.684616277801305,-0.692201702962277,-0.669327963292645,-0.614503320310728,-0.669327963292645,"05/2002"
-0.562335144618808,-0.673011667009257,-0.610864302054894,-0.647446639034633,-0.325082973391448,-0.688138813713588,-0.422709087805991,-0.647446639034633,-0.610864302054894,-0.647446639034633,-0.688138813713588,-0.500402423538188,-0.688138813713588,-0.673011667009257,-0.610864302054894,-0.647446639034633,-0.673011667009257,-0.673011667009257,-0.688138813713588,-0.673011667009257,-0.647446639034633,-0.688138813713588,-0.673011667009257,-0.647446639034633,-0.610864302054894,-0.647446639034633,-0.688138813713588,-0.647446639034633,-0.693147180559945,-0.673011667009257,-0.688138813713588,-0.688138813713588,-0.688138813713588,-0.693147180559945,"06/2002"
-0.669327963292645,-0.684616277801305,-0.684616277801305,-0.684616277801305,-0.573964491393324,-0.684616277801305,-0.692201702962277,-0.692201702962277,-0.692201702962277,-0.684616277801305,-0.684616277801305,-0.669327963292645,-0.684616277801305,-0.669327963292645,-0.684616277801305,-0.669327963292645,-0.692201702962277,-0.614503320310728,-0.684616277801305,-0.692201702962277,-0.646090505060809,-0.684616277801305,-0.692201702962277,-0.684616277801305,-0.692201702962277,-0.684616277801305,-0.684616277801305,-0.692201702962277,-0.684616277801305,-0.669327963292645,-0.684616277801305,-0.614503320310728,-0.684616277801305,-0.684616277801305,"07/2002"
-0.689009238476659,-0.689009238476659,-0.625491359725573,-0.625491359725573,-0.585952618303551,-0.689009238476659,-0.689009238476659,-0.689009238476659,-0.693147180559945,-0.6765259604935,-0.655481773901393,-0.655481773901393,-0.689009238476659,-0.693147180559945,-0.693147180559945,-0.689009238476659,-0.693147180559945,-0.693147180559945,-0.689009238476659,-0.689009238476659,-0.689009238476659,-0.655481773901393,-0.625491359725573,-0.6765259604935,-0.689009238476659,-0.689009238476659,-0.693147180559945,-0.6765259604935,-0.6765259604935,-0.689009238476659,-0.655481773901393,-0.6765259604935,-0.689009238476659,-0.693147180559945,"08/2002"
