date,america,europe,asia,oceania,commodities,bonds,all_indices,mstl_continents
May-13,5.194341007,2.775559522,5.272514433,0.748935233,2.317875079,1.035561801,18.15856172,15.98657777
Jun-13,3.672497805,2.423414755,3.864187495,0.698540748,2.349261823,0.876417426,14.75676706,11.29125478
Jul-13,4.737678144,3.11357436,4.540343316,0.6754175,2.381867725,0.803059869,17.48335207,15.00232959
Aug-13,3.923108673,3.142241631,4.756742701,0.69689392,2.623057649,0.858131077,17.28110389,13.95600622
Sep-13,4.303083106,3.480510397,4.324009735,0.427695293,2.009690167,0.804997897,17.06633557,14.39521968
Oct-13,4.465954836,3.580149065,5.515918545,0.916816016,2.394164834,0.61444577,18.35642308,15.74863736
Nov-13,4.426565267,3.59847724,5.380535847,0.873083476,2.637832734,0.764823063,17.9786078,15.02680143
Dec-13,4.259832117,2.438206723,5.596543659,0.875958367,2.378419342,0.778199335,17.45783441,15.11820023
Jan-14,3.910947658,3.297144271,4.593282806,0.699830812,2.826501598,1.102391897,16.91209215,14.20452681
Feb-14,3.783307999,3.581588922,4.581300362,0.690019887,2.778198588,1.183610218,17.32586122,14.22740974
Mar-14,3.823794324,2.248145104,4.64051651,0.864058703,2.827291686,1.117602859,15.76975133,13.24764592
Apr-14,4.18066116,3.067219654,6.021974121,0.799920624,2.462078017,0.844854739,18.61899242,16.31349741
May-14,4.689103167,4.712716208,5.696020749,0.879689591,2.467895227,1.024168815,19.87488064,17.4327736
Jun-14,5.108374372,4.024793395,5.757755624,0.747447553,2.807203114,0.950616893,20.16882219,17.85350328
Jul-14,4.156713117,2.955229835,5.747928539,0.764730882,2.695857074,1.22158513,18.47676097,16.0014378
Aug-14,4.62018201,3.267793449,4.70117494,0.590430585,2.661152243,1.440612399,18.51953444,14.5028225
Sep-14,4.676234887,3.802955495,6.106363874,0.996628206,2.438280315,1.161652595,20.13307744,16.06156927
Oct-14,4.019700275,2.28723549,5.166337136,0.656936391,2.543748915,1.328123078,16.76645187,13.55847231
Nov-14,5.219175745,3.233219654,6.520161654,0.980276566,1.999159105,1.123604202,19.30223378,17.74421428
Dec-14,3.680436361,2.459420636,4.694002451,0.823675471,2.167280604,1.381274441,15.76413578,12.96729072
Jan-15,3.593449935,3.305682384,4.291623642,0.783171473,2.774461157,1.269934106,16.59929076,13.77802989
Feb-15,4.195261556,4.38842492,6.051509858,0.879733947,2.35281885,1.180540384,18.8505878,17.50542823
Mar-15,3.979248831,3.460317343,5.812326886,0.795346355,2.303694921,0.768851716,18.25791697,15.76425707
Apr-15,4.311035066,2.895698181,5.887548179,0.863133862,2.5291021,0.931601074,18.06065134,15.76865089
May-15,3.715794137,3.514483933,5.899364829,0.67373576,2.435324601,0.700337562,17.9664788,14.8344767
Jun-15,3.881671175,2.468924287,4.724298884,0.813491392,2.444845431,1.087961458,15.88295017,12.70163026
Jul-15,3.590608761,2.374814366,4.711580334,0.677335025,2.140616272,1.394323015,15.7876298,12.43107043
Aug-15,2.752590972,1.569846206,4.051211422,0.558645093,2.2225806,1.50987282,12.6192531,9.603614576
Sep-15,3.04537847,1.872989564,4.621355242,0.631812548,2.275631527,1.189949769,14.49191755,12.1795557
Oct-15,3.761930886,2.791941284,4.764653525,0.977308541,2.470754149,1.134629163,16.30327053,13.38845929
Nov-15,3.89442795,2.962275263,4.988873102,0.732963125,2.720517966,0.931456632,17.22975098,14.63445606
Dec-15,3.636002138,2.222346873,3.834898657,0.537340075,2.289548126,1.406665581,15.28006951,11.70966682
Jan-16,2.847827255,2.109089852,3.550488366,0.57970283,2.538783003,1.388757973,13.37791288,10.84633424
Feb-16,3.84391159,1.908951484,4.485395611,0.722521336,2.673506042,1.481475814,15.03718662,12.38193649
Mar-16,3.790295123,3.085920105,4.955586476,0.886895329,2.237672052,0.95187415,16.39855361,14.45643364
Apr-16,3.940679904,2.665141117,4.680779227,0.512394494,2.496116118,1.381756376,16.34003118,13.22585013
May-16,3.953691781,2.8554775,5.242542814,0.642803413,2.28088422,1.318816602,17.21572653,13.83237583
Jun-16,2.904258549,2.031455248,3.412200078,0.546803671,2.716777274,1.139599923,12.94940106,9.777037308
Jul-16,4.060781267,3.011944425,4.805407961,0.857947155,2.390425862,1.195781083,17.21094819,14.73930783
Aug-16,4.245892126,2.741510917,4.874264794,0.771195358,2.493956367,1.147299671,17.51020799,14.68117031
Sep-16,2.693077855,2.516024074,4.720794784,0.560909512,2.738034965,0.794144938,14.78094953,11.42896927
Oct-16,4.385615091,3.138485739,5.611168031,0.867891433,2.621228789,1.086401797,17.95777304,16.17977538
Nov-16,3.938479693,3.57605339,3.607635917,0.607676021,2.669443826,0.935717346,15.48085014,12.65485597
Dec-16,4.605490667,3.804597115,5.302936112,0.735314759,2.54794197,0.601746798,18.26000619,16.37057945
Jan-17,3.924989676,3.513784682,5.871353553,0.776455193,2.648428964,0.626895698,17.92150569,16.00335768
Feb-17,4.322725857,4.338262811,5.42360706,1.020339193,2.631325371,1.000047826,18.9881128,16.48043396
Mar-17,3.812501328,3.722639609,4.693492402,0.785595525,2.215902094,0.946885865,16.90266619,13.96582355
Apr-17,4.01332776,2.870719956,5.383890502,0.83973257,2.713807185,1.360638107,18.21311307,14.8383168
May-17,3.491655323,3.720383029,5.253068617,0.731357193,2.607107281,1.03156629,17.55509117,15.01748875
Jun-17,4.901063284,3.597127212,5.261801999,0.63185785,2.646154561,0.790958176,18.90336664,16.62913461
Jul-17,5.102143895,3.045564012,5.751731228,0.78194609,2.680206662,0.761255618,18.66124984,15.27205196
Aug-17,4.27996646,2.988257439,5.014852452,0.518695498,2.331179553,0.951274695,17.21021433,14.50878535
Sep-17,4.757878353,4.032133599,5.920042934,0.843385129,2.630092515,0.647101041,19.07369531,16.13645937
Oct-17,4.972853692,4.675682108,6.522565835,0.97605538,2.613409368,0.633017727,20.57491812,18.49014523
Nov-17,4.622952756,4.492871828,5.093171393,1.14218091,2.231782308,1.168926247,18.79848849,16.10269592
Dec-17,4.768813904,3.730039265,5.471256825,0.759379944,2.478656746,0.953373515,18.94961553,16.43883091
Jan-18,4.0066684,4.059892868,5.571355621,0.873865267,2.65852123,0.809181716,18.56999462,15.04004046
Feb-18,3.380133491,2.03812182,3.763449781,0.819417403,2.109753561,1.096747213,13.81361796,11.48106693
Mar-18,3.866441232,2.908730875,3.479040938,0.459445838,2.555121548,1.234218405,15.82469177,12.5610197
Apr-18,3.833456627,3.09917071,4.891202548,0.749267925,2.653850434,0.85863539,16.47537459,13.10977513
May-18,4.503671039,3.880368784,5.17696519,0.917124331,2.542126244,1.061487833,18.75813478,15.26415584
Jun-18,4.524212488,3.221086989,4.892470507,0.888195515,2.182390283,1.224796996,17.63866704,14.85388322
Jul-18,4.459761043,3.770019931,5.245214277,0.676557768,2.318196237,1.080117041,18.40606241,16.19227551
Aug-18,4.448641212,3.102142622,4.992371166,0.706222484,2.222790315,0.989420343,16.89890064,14.6265568
Sep-18,4.562739278,3.968093583,4.734188133,0.637844465,2.739594099,0.69127583,17.95441518,15.83774493
Oct-18,3.86248992,2.95815315,3.740407158,0.552586893,2.585646314,1.319703981,16.13068266,11.92610192
Nov-18,4.125198711,3.46295595,4.832027609,0.646447377,2.298745066,1.046781187,16.89828804,14.95011876
Dec-18,4.071053402,2.444269542,3.811439976,0.498354165,2.306340225,1.272386935,15.25982288,12.38028661
Jan-19,3.874039876,3.105645535,4.621710162,0.911785771,2.540365771,1.248490249,16.6589575,13.7662441
Feb-19,4.397603818,2.99112137,5.343931193,0.758919175,2.556646284,1.199034764,18.08245924,16.13711641
Mar-19,3.699178206,3.447388579,4.120743996,0.680267388,2.653147273,1.414149837,16.66786667,14.0263647
Apr-19,3.559543873,2.641641222,4.112115382,0.817087354,2.931135087,1.46893986,12.81821759,10.50449512
