"date","namer","latam","america","europe","asiaoc","all_indices"
"12/2003",0.738924111931452,3.69166244466127,4.63109010283079,3.96402695828944,5.30422098614444,14.1754738470086
"01/2004",1.07444923870937,3.73432270695209,5.47529573508154,3.74352077259014,5.82589390345279,14.9911075973948
"02/2004",0.899165475694793,4.23063080629261,5.43764596409172,4.01722000746713,5.32780454287064,14.8993475557971
"03/2004",0.633884275650499,3.78067167572342,4.70213551458101,2.64593248005465,5.89489292895643,13.2111378964624
"04/2004",0.833518293274975,3.07940047648307,4.30563267618576,3.07723583653768,5.45985130873076,13.2792565101273
"05/2004",0.826334173133755,2.7918253055991,4.12547379021727,2.67471815926102,3.69811847671971,10.4845745673544
"06/2004",0.806048559082347,3.54853630293504,4.62010380944973,3.29450564402258,5.15000673246122,13.3746161148338
"07/2004",1.14713374732696,4.01496310404746,5.72335067357089,2.98933792986873,5.68421204701334,14.4114429762453
"08/2004",0.796607641209759,4.23341465791604,5.2282529093115,2.78805414826068,5.60445903305168,13.705248999247
"09/2004",1.04592754450941,4.15645429107051,5.6266904537072,3.40883979195085,5.94259143793457,14.7770188138308
"10/2004",0.918186180513801,3.6304589718588,5.02256018812135,2.25290812244962,4.15106961664127,11.823815339265
"11/2004",1.18458594909412,4.42943580448547,5.78012047458446,3.51758324614306,5.35281233536238,14.6339675867756
"12/2004",0.899732578030711,3.72681246578124,5.24787824867,3.22873877664285,5.93637482805366,14.8841910506195
"01/2005",0.762463953549727,4.2214458656404,5.34774619616741,3.29817589409985,5.94589571870694,14.6594285171258
"02/2005",0.855457795119998,4.35126324129548,5.72128999677716,3.68524323317655,5.67550476566833,15.1355015173696
"03/2005",1.0591100446164,3.9208249800127,5.33776502665779,2.9150399449243,5.42294011591836,14.0661738422311
"04/2005",0.807158074584602,3.52082783662609,4.57578445888502,2.79278091790075,4.09555739014987,11.6939777930056
"05/2005",0.821284531149965,3.75697477805291,4.90723154424262,3.97135223238149,5.86745245015667,15.0623813663814
"06/2005",1.04711073607097,3.64347331779158,5.26532871722024,3.53726061611866,5.70837924458149,14.550132296085
"07/2005",0.94822775188833,4.33569771032909,5.84694631061433,3.01343692575095,6.03659573658038,14.9279981365494
"08/2005",0.939468294359244,3.98149447566201,5.32121692118231,3.32904943183726,5.74534233252828,14.5860971992637
"09/2005",1.20553760717199,4.01082202437917,5.76970767180902,3.69449646725916,5.98178907224118,15.1685834929568
"10/2005",0.731935218475469,3.06040495080721,4.13867579687557,2.37081564879281,4.46309062678381,11.3073270537574
"11/2005",1.01473682368241,3.82670745705552,5.32885130703277,4.03031821739836,5.85850695057011,15.3472405112767
"12/2005",1.05122208514089,3.40598442187882,5.03525727050375,3.42923331356702,6.18607516264731,14.7173111650358
"01/2006",0.75062914306914,3.21631656234489,4.52461462415897,3.27331789449966,4.58181635351356,12.8425889627234
"02/2006",1.0623871134443,4.0095414703149,5.29101297833416,2.94216846900654,5.93217153367948,14.1488113773959
"03/2006",1.06712952681661,3.47801983045358,4.80578472021345,3.35534280289856,5.65728113097373,14.120775606298
"04/2006",1.15830229239793,3.51257052762868,4.97021584529547,3.38339666651321,5.3338173854416,13.9232551070005
"05/2006",0.775503002815194,2.53362747230258,3.70288669303929,1.87311204073911,4.46982184611255,9.84687712788021
"06/2006",0.513633144224908,2.64336905071602,3.34633480658474,1.93106862537185,3.77572494477489,9.32708334737708
"07/2006",0.715641338623031,2.58538790059066,3.50487768376744,1.89834756874934,3.97320309704982,9.51148220764584
"08/2006",1.18882953154462,3.82513712933104,5.19474450861084,2.89224305280558,5.49873755168333,14.0433197610437
"09/2006",0.946554887233981,3.11580398718708,4.0949060315694,2.72419411589717,4.79105842088894,11.8450022634211
"10/2006",1.0207029978494,3.72529155664085,4.94018760576688,3.32472551249972,5.28584883062443,13.7167496059482
"11/2006",0.965023661562684,3.31010736781585,4.75107480220261,2.90565089894344,5.20657042994466,13.0160952756248
"12/2006",0.927064604278807,3.60279980860437,4.85228659692024,3.44964458010276,5.42598664530481,13.5388486016695
"01/2007",1.10240021524974,3.20648835414173,4.69981321099513,3.35028144268166,5.01821245279664,13.4565300707744
"02/2007",0.522844370670293,2.07515917010751,2.68609017864803,1.96626522458128,4.27264459257511,9.27515848844344
"03/2007",0.527035654191746,2.63074695730678,3.37152076711122,2.15589080157388,3.0720958179174,8.80443966872656
"04/2007",0.763847460751593,3.42634148638635,4.33156476046944,3.07965008948002,4.17041141100987,11.7773202259416
"05/2007",0.877302197316907,3.25092883923009,4.46697951893892,3.93115252082335,5.01156570660737,13.6884180278127
"06/2007",0.585851678882071,2.83319106042745,3.55198877976525,2.68846605406432,4.90288057861973,11.5765034782925
"07/2007",0.699342858313834,2.82353046029929,3.6795004224014,2.15020488260734,3.60117122944917,9.69707881624494
"08/2007",0.558039368010615,1.83510113519829,2.70163193016179,1.85139210586166,3.13318409315837,7.9589886175657
"09/2007",0.583067415617975,2.91738069794273,3.84207548294591,2.08051415126517,4.74672081157777,10.8126309356276
"10/2007",0.648397750092477,3.12406013568266,4.08635747934924,3.53022716331697,4.24301485017166,11.8168804943606
"11/2007",0.622432744915839,2.82233595701753,3.86142603777854,2.80856064003081,4.18697134205712,10.9952306051047
"12/2007",0.593913644371885,2.63287080433046,3.60875109028359,2.47619835111,4.52807543275898,10.8759780040897
"01/2008",1.06717166122478,2.23831726745675,3.56391941055292,2.03479648558493,4.24638121254633,9.975676699644
"02/2008",0.641129478843127,2.84368325048678,3.8641475157453,1.94325571907224,4.26900313984694,10.4927293888118
"03/2008",0.580665091681471,3.0415799930226,3.87781404359673,1.90705894168475,4.06281099917773,10.0550779664623
"04/2008",0.913549620053875,3.29769776861049,4.71567259598432,2.73611849034737,4.88286809390464,12.3045088768051
"05/2008",0.962100851127843,3.66425517179333,4.96328570688056,3.44048663662212,5.03306483603656,13.6931955919925
"06/2008",1.05261790820458,3.76824209666357,4.67462091323561,3.29486036305908,5.06039792892673,12.8773442029994
"07/2008",0.877121356017933,3.68481992206957,4.86273720924811,2.57488936681008,4.57994121230368,12.277526825724
"08/2008",1.231084990883,3.37357038958048,4.73555151453137,2.71742218519632,5.09362791953531,12.6995668638011
"09/2008",0.520192512354769,2.04485930756439,2.64037124936471,1.60998820517458,3.70475550536304,8.16046859183641
"10/2008",0.781782543358265,2.14532610252565,3.1319837985646,2.36351590357899,3.74174506359709,9.19342697443749
"11/2008",0.452008229597372,2.48743231594279,3.33488805562612,1.96533020715034,4.05420181612069,9.60834240336437
"12/2008",0.549530210490412,2.96030489071626,3.80588237824619,2.07573333031203,4.61554042144593,10.8281192304916
"01/2009",0.41204513291322,2.38770234385737,3.03311293342954,2.66574215980751,4.64943414791985,10.5592232036384
"02/2009",0.763673133531935,2.43581882194002,3.54518132781846,2.58036690655384,4.65068927144942,10.893372678861
"03/2009",0.412371597874565,2.18209443397615,2.84532817267249,2.39007902009562,4.29907013177958,9.62314266326096
