"date","prop_mstl_asia","prop_mstl_amer","prop_mstl_euro","mstl_continents"
"09/2009",0.552395158839819,0.25964687724,0.20249739846115,12.9588694948519
"10/2009",0.410960910447985,0.218771160187057,0.189903212739583,11.1370714735014
"11/2009",0.565291102211833,0.419650891624056,0.153101870507275,11.3113858889863
"12/2009",0.451065194813135,0.570506874675428,0.16092594963243,14.4051280455517
"01/2010",0.361343061230329,0.372247937481291,0.550186883225808,12.2820007378589
"02/2010",0.383916200672699,0.279833914574375,0.239934951478816,10.3120815854481
"03/2010",0.537877475324621,0.294490054265966,0.238218349354097,14.6555616681512
"04/2010",0.349838221432649,0.345938236584417,0.183702173297948,11.889809481625
"05/2010",0.41556765339615,0.355965318737719,0.18073878290534,9.25410272344324
"06/2010",0.351813357466408,0.232536371136851,0.205797757748538,10.0053951699165
"07/2010",0.374062773398546,0.392120016334191,0.195459709724779,12.4266365298209
"08/2010",0.588313667362667,0.306003602797119,0.1555220123484,11.6383902009507
"09/2010",0.598459536429359,0.559697750124881,0.156098356991962,12.3573417478335
"10/2010",0.424181503282338,0.404571134828218,0.215026126613832,13.8308580047906
"11/2010",0.748574359519989,0.210538435407504,0.189684826489675,12.7081520925552
"12/2010",0.683012308392383,0.371903211354571,0.232150665772215,14.2967434354843
"01/2011",0.378911085744149,0.361295608053549,0.218579886607043,16.1142508583192
"02/2011",0.310353117818646,0.409098974073764,0.416815253312609,13.3186615434311
"03/2011",0.314878624978354,0.413390067830212,0.252331002539,11.1380705402025
"04/2011",0.525933139474851,0.358545365147702,0.185918891529584,12.314664428397
"05/2011",0.430072843882875,0.425281788944159,0.20284023069196,13.552179537469
"06/2011",0.654524374500842,0.25575314329399,0.19002699264239,12.8128012922421
"07/2011",0.459281532307914,0.396540664414116,0.197973806713378,11.9660593267972
"08/2011",0.426038975483492,0.194445839684714,0.215804858766737,9.12528574522476
"09/2011",0.363349005181488,0.297975296218317,0.209900151900201,10.0913953246681
"10/2011",0.359961900254496,0.377171406684242,0.221108974599449,10.5015062504282
"11/2011",0.353522260249872,0.236469367822195,0.170068258494379,10.2624372268704
"12/2011",0.31001647139601,0.319348539269293,0.232503523100592,11.9764631595643
"01/2012",0.537000007644878,0.48965556144442,0.170138998020322,14.9087849175606
"02/2012",0.420342935287392,0.581506908766118,0.201804031069125,15.4572869862242
"03/2012",0.435522487454856,0.578147103351373,0.202196459234502,11.9177429049585
"04/2012",0.464458531350463,0.344817259143532,0.179462629980867,13.1831690881911
"05/2012",0.32402041007033,0.422132399139388,0.229260298469226,12.561091407768
"06/2012",0.511787107031621,0.312906707291909,0.243702318557169,11.25735531716
"07/2012",0.504578434928634,0.529499349296099,0.190083050486661,11.5915400203623
"08/2012",0.397467237064897,0.356289372543641,0.20713645809447,13.7475867360976
"09/2012",0.350696979188341,0.457563769544246,0.223122107821925,11.7145942087758
"10/2012",0.419466058184745,0.408274885521457,0.188329182841908,13.6797989754214
"11/2012",0.686256514566631,0.362632033428162,0.247579395164189,14.82366869058
"12/2012",0.719480574525896,0.508195801807476,0.268478448036899,17.0102034680323
"01/2013",0.6026161503851,0.454921611948056,0.423079533948721,15.6956686014973
"02/2013",0.589817141995836,0.389109174978488,0.199703086218968,12.5974098321053
