Date,ACWI,SPX,LGTRTRUU ,LGDRTRUU ,LG30TRUU ,CCMP,SPTSX,MEXBOL,IBOV,IPSA,MERVAL,IGBVL,FTSE 100,CAC 40,DAX ,IBEX ,FTSEMIB ,AEX ,OMX,RTS,SMI,NKY ,HSI,KOSPI ,TWSE ,JCI ,FBMKLCI ,ASX,NZSE,STI ,CL1 ,HG1 ,GOLD,S1
2/21/01,-0.01422,-0.018680843,-0.002169277,-0.00209684,-0.005354868,-0.021542964,-0.021586971,-0.038961908,-0.020106421,-0.006677812,-0.043152772,-0.002136427,-0.001288434,-0.013493674,-0.016185285,-0.00917371,-0.008077117,-0.012761261,-0.006310259,-0.081999041,-0.008929387,-0.011255434,-0.011389789,-0.02362007,-0.003578488,0.014245007,-0.002526601,0.003671195,-0.00629279,-0.006179524,-0.001751007,-0.024677378,0.007762507,0.007679687
2/22/01,-0.00431,-0.001953758,-0.002365005,-4.90E-05,0.000785543,-0.010625058,0.008953938,0.003836053,0.020093222,-0.000827127,0.02103721,-0.007952404,0.005127146,-0.00400665,-0.011088362,-0.018232151,-0.009202406,-0.015396994,-0.018477322,0.038897365,0.002040577,-0.002041765,-0.016609167,-0.018880979,-0.032613703,-0.006552405,0.002750879,-0.006696664,-0.010371781,-0.010869072,0.010113425,0.000624415,0.001545297,-0.005479466
2/23/01,-0.00705,-0.005570876,0.001901643,0.001200024,0.000388466,0.007787113,-0.012931668,-0.005331927,0.015429341,-0.004209283,0.001521541,-0.009289801,-0.009944167,-0.024063556,-0.032811911,-0.007887653,-0.01688108,-0.01514217,-0.022089441,-0.041592045,-0.00596336,0.013119048,0.011976759,0.000188529,-0.005591184,0.003690867,-0.001009648,-0.000172215,0.011461036,0.001210166,0.007604599,-0.006261761,0.009604377,-0.015504187
2/26/01,0.01319,0.017338738,0.001230274,0.001033877,0.000920307,0.020123146,0.013853378,0.009841902,0,0.001672457,-0.011534304,0.001607324,-0.004552974,0.017184352,0.018546878,0.013984458,0.010053595,0.016117764,0.027649987,0.029633195,0.006942926,-0.003392431,-0.00329982,0.003079979,-0.001906852,-0.014919959,-0.00255672,0.002905452,0.000141375,0.008125536,-0.021581067,0.010621781,0.020061233,0.002786293
2/27/01,-0.00106,-0.00768941,0.007892761,0.006119999,-0.000475582,-0.04459236,-0.009267953,0.00117626,0,0.000991327,-0.019412485,0.0003801,0.004132272,0.004175864,0.005062241,0.008165884,-0.004926854,0.004194285,0.011703004,-0.024030008,0.002347052,-0.010759785,-0.026310559,-0.013329059,-0.007256823,0.002676041,0.000492185,0.000245601,0.002936072,-0.012372598,-0.0102565,-0.004360019,0.005232679,0.004441984
2/28/01,-0.00941,-0.014412472,-0.001467999,0.001306027,0.002532425,-0.02568696,0.001610466,-0.005464065,-0.016621099,0.003836927,-0.02387246,0.001836406,-0.003929477,-0.013008687,-0.001969632,-0.000282641,-0.001322933,5.02E-05,-0.004264966,0.011592652,0.003068923,-0.013592876,-0.003163803,0.000917217,0,-0.011617903,-0.002674777,0.007264373,-0.008891087,0.007351491,-0.026658639,0.011173301,-0.004109083,0.00497376
3/1/01,-0.00085,0.001039913,0.007289641,0.00605974,0.002810805,0.014550912,0.003102119,0.008016389,0.032513088,-0.006458476,0.008567075,-0.001712323,-0.00157274,-0.004881967,-0.01376321,-0.006860171,-0.017588077,-0.009419275,-0.031866079,-0.019662556,-0.018556423,-0.015793672,-0.02932169,0,-0.031293299,-0.010026682,-0.010472042,0.007069612,0.005728806,-0.016446415,0.008362165,0.013488862,-0.005630646,0.007688121
3/2/01,-0.00635,-0.00569596,-0.003880873,-0.004217274,0.000660466,-0.030572016,-0.012029418,0.008627865,0.009965662,0.005036198,0.020734413,-0.002103736,-0.00849825,-0.009295429,0.005803442,0.008899676,-0.007860392,-0.00247039,0.029731892,0.00521066,-0.003537904,-0.033668117,-0.027828967,-0.032810581,-5.82E-05,0.004933216,0.001523056,-0.004975963,0.006890505,-0.000889012,0.007933687,0.004254033,-0.010596126,-0.002738977
3/5/01,0.00469,0.005840967,-0.003173977,-0.001891898,0.001583102,0.011871846,0.011473968,-0.003789777,-0.002642654,-0.003625998,0.077899709,-0.005868776,0.012332746,0.014428879,0.00927007,0.012171083,-0.000922793,0.003331899,0.008580847,0.03724759,0.006364518,0.004910529,0.012015792,0.010561788,0.01983992,0,0.004201269,0.002819731,0.000659783,-0.004333735,0.026932882,0.01085656,0.000760601,0.001644286
3/6/01,0.01169,0.009931109,0.001641033,0.001335717,0.001091192,0.028299587,0.01303921,0.023103666,-0.012958175,0.009194911,-0.018430442,0.003168585,0.013514059,0.016340489,0.010828525,0.020838131,0.020132438,0.014599778,0.026658867,0.055412385,0.004973367,0.029236905,0.013058098,0.004887397,0.004503423,0.012571801,0,-0.00282393,0.010469984,0,-0.009838449,0.012518792,-0.008782034,0.011434919
