"date","prop_mstl_namer","prop_mstl_ameri","prop_mstl_latam","prop_mstl_europ","prop_mstl_asiao","mstl_all"
"06/2007",0.0506069626274137,0.306827427333799,0.306827427333799,0.236261942720397,0.526331183562658,11.5765034782925
"07/2007",0.0933429440076429,0.523137043320538,0.429794099312895,0.225888286246138,0.395995899169763,9.69707881624494
"08/2007",0.108874486018366,0.339444125375329,0.230569639356962,0.23466705592637,0.428622427326299,7.9589886175657
"09/2007",0.0539246571060491,0.591718183880106,0.537793526774057,0.19591957629476,0.494422124090863,10.8126309356276
"10/2007",0.0548704669055351,0.576964508439099,0.547051376150891,0.401440402604711,0.568436605171666,11.8168804943606
"11/2007",0.0566093397465323,0.386356923877482,0.386356923877482,0.258269647604209,0.455051588542977,10.9952306051047
"12/2007",0.054607837947866,0.615110605857873,0.52538255697931,0.231794479155864,0.560945144757237,10.8759780040897
"01/2008",0.140063877706006,0.423069462498258,0.322252525946936,0.206527679280334,0.515425931000325,9.975676699644
"02/2008",0.0611022599636229,0.474152128984876,0.376897713337159,0.188527922135616,0.609150269956304,10.4927293888118
"03/2008",0.057748442490274,0.457448132134037,0.457448132134037,0.189661278415299,0.442913265787597,10.0550779664623
"04/2008",0.210341489905765,0.578339163658545,0.413570650860103,0.224991931056127,0.497412199065216,12.3045088768051
"05/2008",0.0702612362953803,0.539013806001485,0.51997785048399,0.296409474314754,0.658562494969014,13.6931955919925
"06/2008",0.167673231626757,0.556171757829118,0.535387687049599,0.488110207267807,0.539797789675132,12.8773442029994
"07/2008",0.0714412086789482,0.498595261468974,0.498595261468974,0.285745338415875,0.386153960480536,12.277526825724
"08/2008",0.152882381598498,0.503872504435401,0.434349396928676,0.32017218276418,0.494076635097097,12.6995668638011
"09/2008",0.0840389754017005,0.362458141961057,0.313965341882583,0.24004432069767,0.614158722961884,8.16046859183641
"10/2008",0.335615950515768,0.513350677225909,0.406028598225079,0.298731564665701,0.463034886995984,9.19342697443749
"11/2008",0.0470433099302436,0.445053099430914,0.356853105706025,0.477245633709133,0.545457875364153,9.60834240336437
"12/2008",0.0507502917905589,0.351481388155475,0.351481388155475,0.604084406273506,0.753589829234846,10.8281192304916
"01/2009",0.0390222959555626,0.407960104574555,0.407960104574555,0.25510067697213,0.474022092463724,10.5592232036384
"02/2009",0.101838295501557,0.441583852021499,0.339745556519942,0.236874931449021,0.57984847298459,10.893372678861
"03/2009",0.0428520715430012,0.394422341407599,0.378021086476548,0.342330124612903,0.713397390754566,9.62314266326096
"04/2009",0.048466717773276,0.485155234935098,0.485155234935098,0.212390171751488,0.508709591196516,11.0631280031523
"05/2009",0.11873394117858,0.297576957029087,0.235080832245101,0.335367228966932,0.473666976541378,11.8267003056332
"06/2009",0.0609070616164252,0.306876087915993,0.245969026299567,0.525770410499966,0.625114723316281,9.96029919529241
"07/2009",0.0932285119584887,0.447438116394573,0.447438116394573,0.290047029601558,0.622847414836641,10.8023105367297
"08/2009",0.0637972442680675,0.46377108447865,0.413173632154328,0.224721761336957,0.639181289797506,10.4603943795777
"09/2009",0.0608794321339997,0.417490983544997,0.417490983544997,0.228798953191519,0.624158549166086,11.6281363382227
"10/2009",0.0510200149907147,0.400159887923277,0.370110743897665,0.203035527942016,0.562119176173582,10.4167269508881
"11/2009",0.258176261808834,0.515534520597242,0.397873266499237,0.171632514865691,0.563894153305651,10.3088412078429
"12/2009",0.0945919616040316,0.568640961900769,0.510608072336898,0.188062247607105,0.567016438559477,12.5301819438621
"01/2010",0.0572082259376924,0.472623136586171,0.472623136586171,0.524834832569276,0.695912318565015,11.4245774553826
"02/2010",0.0505665635446185,0.341920745010787,0.308777255703589,0.245432493873029,0.465804760677464,10.1244056817111
"03/2010",0.0514149531078201,0.470361897282452,0.470361897282452,0.274506216409401,0.638844445975638,12.9081563853143
"04/2010",0.152196225203459,0.449446848659742,0.390816352389405,0.209826696132241,0.614169958945245,10.4797189381904
"05/2010",0.060689054352179,0.436428731212454,0.436428731212454,0.192196155589829,0.425309579516668,8.80216663038238
"06/2010",0.0468572681037403,0.402847965892812,0.320016983152752,0.225427322080149,0.412569483031629,9.22959246241488
"07/2010",0.0457835310056407,0.49491331979298,0.459149879817884,0.214985963496291,0.450161449199193,11.3942764524259
"08/2010",0.0594545570445369,0.418193783782375,0.358739226737838,0.175287720329969,0.615657927762436,10.4419797146406
"09/2010",0.0686993809833671,0.695211424284743,0.626512043301376,0.171861786756392,0.58151806499621,11.380650965988
"10/2010",0.0604556333450986,0.564594474343968,0.539260681004732,0.230152814734213,0.563875073000335,12.9719480053558
"11/2010",0.0558663135010057,0.287425137347949,0.252464462611871,0.219835981004665,0.728866000394265,11.0757348925598
"12/2010",0.189987641605656,0.487004524134259,0.469434100967148,0.255254619610015,0.695235117975426,13.0963273607334
"01/2011",0.198033078146344,0.494085151171555,0.494085151171555,0.247592574224192,0.481560430429271,14.3463344422322
"02/2011",0.0587798001678538,0.496980537704782,0.454280760883664,0.436934656293477,0.398106604858591,12.7992849698363
"03/2011",0.199642264145029,0.507572696087923,0.507572696087923,0.258083163332949,0.396390347649152,10.9014554111739
"04/2011",0.192923010594489,0.451805929296242,0.404841254524661,0.211065225127082,0.559809311868486,11.0437408683673
"05/2011",0.234747231559274,0.512803788671676,0.444225467388453,0.223155828733403,0.456987728008477,12.4419251357559
"06/2011",0.0535160255339799,0.344512728603551,0.290996703069571,0.213348355882412,0.631426557512696,11.5386469182019
"07/2011",0.0650294385592479,0.488930789620801,0.488930789620801,0.219110751681967,0.397464961856841,10.9643638743192
"08/2011",0.11286541196985,0.250918690957712,0.169169525270778,0.241746808692363,0.548058978012932,8.23442620987722
"09/2011",0.0715977052304224,0.381263396655516,0.262617890692735,0.233335052010094,0.422563785122726,9.14786510899858
"10/2011",0.115619708530152,0.473902304154424,0.473902304154424,0.257369810466499,0.547550570274138,9.10150759180391
"11/2011",0.0465166020386366,0.318888634121259,0.318888634121259,0.200465351689639,0.468659298703446,8.70804594234569
"12/2011",0.0537117506290787,0.40358702113804,0.40358702113804,0.249561287918461,0.550684185108837,11.2501134094455
"01/2012",0.0515425724229099,0.512516477167287,0.493437669992238,0.218783312975063,0.581151109895464,12.9475093824397
"02/2012",0.227052386795296,0.481307039753559,0.437052235095975,0.242359901583259,0.473967238410285,12.8707221122517
"03/2012",0.0528060205714295,0.453904917723844,0.401098897152415,0.219277720802344,0.457114021528736,11.1311950113772
"04/2012",0.0535002471758992,0.39558309555566,0.39558309555566,0.197408406669706,0.493356246345533,12.150905541352
"05/2012",0.222361587891097,0.507381432805668,0.456444625295957,0.240100539901867,0.36472354071364,12.1248234433252
"06/2012",0.0561801633153421,0.393354783006257,0.393354783006257,0.260611548268012,0.509590680396646,10.5850906243692
"07/2012",0.0646129962209401,0.676316151677102,0.676316151677102,0.21299934722395,0.566981953398355,10.4580610911272
"08/2012",0.0542491760596648,0.43908669570376,0.43908669570376,0.224336866730153,0.638387806240317,12.8310764971506
"09/2012",0.059397599141786,0.574061892790435,0.55280293096782,0.248492884066177,0.386029227748774,10.6473039675302
"10/2012",0.0596727375989247,0.616049577273318,0.590735438510503,0.210330639410255,0.614696900686447,12.5053317671464
"11/2012",0.0412146214646784,0.466474474230285,0.466474474230285,0.275965799500503,0.690358543258094,13.3751711315695
"12/2012",0.0616635781601221,0.579304837169964,0.474706476517121,0.284686362961918,0.768091555195486,16.2354742882655
"01/2013",0.166040517913204,0.585587256772886,0.547995491171843,0.545186617267777,0.652983454833574,14.7902625799485
"02/2013",0.0557963081079308,0.481554117375158,0.466190725459384,0.203882970612731,0.499028481420124,12.3391456013959
"03/2013",0.154527442787288,0.637644915229704,0.591177969157502,0.276613645433709,0.51627647959752,13.6554443221156
"04/2013",0.0837321090342568,0.289006024727079,0.289006024727079,0.315170088106937,0.702279498176668,12.4673196745747
"05/2013",0.0607725322374342,0.591456212683933,0.547553110144252,0.194244194095772,0.429132812640164,14.2890217910374
"06/2013",0.0531992299750507,0.617294735784312,0.617294735784312,0.227445350735426,0.347698035068634,10.7697725038888
"07/2013",0.0856708251392661,0.461556180599711,0.329048669587051,0.235155096306592,0.482139382183062,13.3546874160616
"08/2013",0.190938358397173,0.538172117293928,0.372582724791761,0.247703726794849,0.463575677809707,12.8912182364748
"09/2013",0.0744287279053706,0.54531409044651,0.498742260313579,0.329980352340957,0.375607340060211,13.3357542449915
"10/2013",0.0517664079430345,0.535125707552978,0.535125707552978,0.252462467420457,0.585339530048493,14.3468251257615
"11/2013",0.0615367592784376,0.525614838905691,0.382717053410543,0.296566712739464,0.590493840106755,13.7574805758142
"12/2013",0.0576600712237358,0.768942671420442,0.67167707480197,0.186434558088846,0.595824415041093,13.2526895290363
"01/2014",0.182197889764456,0.467658624772507,0.381253839451184,0.302360687685035,0.504838890159745,12.6208356252487
