"","block","america","europe","asia","commodities","bonds","all_indices"
"70",70,3.37039524344895,2.96019265828886,4.4288004856589,2.25632555064566,1.28021047138244,15.8837721777885
"71",71,3.42356883820799,3.05199474553256,4.36511346721981,2.3566228856045,1.22771614959191,16.0420210402865
"72",72,3.46472928723333,3.21334568761729,4.21821457512692,2.1193796795182,1.21771902154779,16.0242220605277
"73",73,3.59120135152035,3.14855009939017,4.45294875054095,2.02005389074099,1.2763490646557,16.3743070771447
"74",74,2.62207873623717,2.27784705317761,3.67658989958207,1.8719654509385,1.18772085467589,12.8160364739982
"75",75,2.60207796291616,2.07074630655758,3.43104632084708,1.97993246497905,1.24796526946675,12.1904009371906
"76",76,2.61393165343776,2.07715968658986,3.31360577694387,1.97780606536176,1.19446023212906,12.1601211920687
"77",77,2.65251578299989,2.19373085705173,3.28921977392594,2.07482776118754,1.18243307231026,12.5770912004231
"78",78,2.62998387463353,2.30957665615029,3.35403431441009,2.11029298510111,1.18868440495687,12.8029345635692
"79",79,2.58214017321189,2.29518522546993,3.25633791913054,2.07724079744759,1.17036294928621,12.5559488430311
"80",80,2.50915567580401,2.23160520734576,3.28293855440172,2.03901223867527,1.13693921314604,12.2825547490231
"81",81,2.48222552999458,2.24611527128427,3.20931210736113,2.02622534516542,1.11959247996448,12.1395722725397
"82",82,2.7293905567532,2.28283835741298,3.75293490503527,2.18434241381353,1.16830468038193,13.2388399611775
"83",83,3.01480626670162,2.60636612166542,3.97922383234744,2.20917616738045,1.14771154134669,14.4303985456607
"84",84,2.73821816366828,2.58996397977317,3.94917724908829,2.45974461250209,1.14193284661583,14.5103396128686
"85",85,2.59216752874689,2.6388773423298,3.94739727091975,2.41806460427937,1.17737980612667,14.3215833504698
"86",86,2.80950293241472,2.7538051382656,4.14600376600885,2.28928999858535,1.22326827506865,14.5838355724607
"87",87,2.7063488781241,2.54056128674701,4.22834053742573,2.28083647305026,1.2448483942406,14.3524650769582
"88",88,2.72764053550415,2.45596025432316,4.29142028115538,2.22421103172624,1.22500709324033,14.4848416381832
"89",89,2.83471384820129,2.31472797644877,4.32433516332219,2.24606197720157,1.11588024576028,14.4272842437067
"90",90,2.92784874677721,2.19597634219286,4.11290032829339,2.32499826424041,1.00194688438389,14.0544889076133
"91",91,2.7704890024374,2.23421300939845,3.86935441303993,2.21939097396908,1.02758320656543,13.525350335144
"92",92,2.87886242251916,2.22914820270161,3.67886415640281,2.18808079125056,1.00480571789516,13.3800261134303
"93",93,2.96921159118179,2.16832119096228,3.66365450466005,2.19902130381198,0.940404443240129,13.3337955469207
"94",94,2.82642758916731,2.02338817819364,3.45391152414492,2.24538893776338,0.921239922292212,12.6848860476299
"95",95,2.99324131992116,2.03336471235439,3.47040834808823,2.26197134377041,0.892187440262396,12.9130186751582
"96",96,3.04363936704732,2.16532365266112,3.56456883817113,2.29315008688121,0.826129482949834,13.0955775657119
"97",97,3.08575572193791,2.30703564632121,3.7739955758916,2.24837515403602,0.820149063068485,13.6049797408145
"98",98,3.52647223675086,2.84232703155258,4.12158663275892,2.19165507284826,0.866908519221465,15.2761062958828
"99",99,3.62999247790382,3.04640841388575,4.56337329470479,2.20885670372201,0.750278698231513,15.5470459758051
"100",100,3.90259943566773,3.45042796446956,4.64178457735433,2.25870784783108,0.771315896760748,16.3964018642953
