Date,SPX ,UKX   ,CAC  ,DAX  ,IBEX   ,NKY  ,HSI  ,SHSZ300  ,KOSPI  ,SPTSX  ,AS51  ,LC07TRUU ,LUATTRUU,LUACTRUU,LUMSTRUU,LP06TREU ,LBEATREU,LAPCTRJU ,LG30TRUU ,EMUSTRUU ,LF98TRUU ,LP01TREU
03-06-2014,-0.000379299,-0.004058281,-0.002705227,-0.0030579,-0.004693562,0.006561882,0.009030374,-0.003041993,0.003271367,0.003666785,-0.007051946,-0.002206206,-0.002265976,-0.003363596,-0.00232477,-0.002310911,-0.001798631,0.000488659,0.000000715,-0.001380349,-0.000283905,-0.000211045
04-06-2014,0.001889869,-0.002588078,-0.000597466,0.000698363,-0.001959847,0.002239704,-0.006000093,-0.010121189,0.000004979,0.004205688,-0.006380718,-0.000297553,-0.000374916,-0.000483705,-0.000026093,-0.000874294,-0.000934347,-0.000150608,0.000162831,-0.000859455,0.000054371,0.000481614
05-06-2014,0.006504105,-0.000754101,0.010548479,0.002129363,0.011168755,0.000756949,-0.001817932,0.01043743,-0.006538403,0.000229078,-0.001460616,0.001255507,0.000934593,0.001391011,0.00178841,0.002527916,0.002334008,-0.000223432,0.001391294,0.001594632,0.000791065,0.001743598
06-06-2014,0.004617093,0.006542004,0.007095437,0.003948835,0.017128405,-0.000141263,-0.006889203,-0.007411382,0.000005011,0.002612768,0.00498106,-0.000138768,-0.000842068,0.000099001,-0.000547133,0.003914553,0.004781163,0.001379435,0.002712096,0.002466806,0.001429576,0.002972751
09-06-2014,0.000938291,0.002445169,0.001744775,0.002144449,0.008979564,0.003096564,0.0072271,-0.000206137,-0.002734895,0.002175018,0,-0.000226378,-0.000837905,-0.00041587,-0.000625662,0.000869648,0.00090151,0.000303005,0.001321788,0.003376235,0.001186744,0.002248503
10-06-2014,-0.000246024,-0.000210931,0.001280471,0.002013233,-0.000949923,-0.008579412,0.00854006,0.012566659,0.010875105,0.002228,0.001028199,-0.000885072,-0.001033733,-0.001054313,-0.001210723,-0.001518028,-0.001930705,0.000126645,-0.000313791,-0.000596704,0.00065602,0.000513762
11-06-2014,-0.003543299,-0.005058199,-0.008719076,-0.007907498,-0.007072063,0.004968032,-0.002510038,-0.000231372,0.001425567,-0.000822244,-0.002866993,-0.000018918,0.000219514,-0.000083283,0.000198409,0.000676414,-0.000015137,-0.001232588,-0.00034813,-0.002003644,0.000054148,0.00030142
12-06-2014,-0.007114124,0.000619793,-0.000155881,-0.001117228,0.001227249,-0.006387531,-0.003543657,-0.003412007,-0.001500129,0.001174427,-0.004630438,0.002218055,0.002357952,0.00371716,0.002226783,-0.000063802,-0.000462221,0.000879958,0.000590104,0.000221833,0.000282723,0.000718238
13-06-2014,0.003129634,-0.009582364,-0.00244458,-0.002602315,0.002270046,0.008267712,0.006200795,0.010545985,-0.010393598,0.006150216,-0.00438386,-0.000809561,-0.001046751,-0.001027863,-0.000677419,0.001963917,0.000869938,0.000220948,0.00004933,-0.000800919,0.00018042,0.001305601
16-06-2014,0.000836358,-0.003430266,-0.007340978,-0.002918648,-0.009538132,-0.010958738,-0.000793654,0.007147319,0.00137535,0.002582385,0.001343026,0.000416741,0.000228918,0.000601033,0.001140925,0.000489051,0.001011453,0.000107218,0.000315032,-0.001801745,0.000733371,-0.000195102
17-06-2014,0.002170233,0.001794192,0.005752758,0.003669914,0.004558913,0.002853968,-0.004175107,-0.010170854,0.003984847,0.001029363,-0.002153707,-0.002305622,-0.002355002,-0.003135668,-0.00286259,-0.002035427,-0.002509606,0.000446737,-0.000535303,-0.001688475,0.000330442,0.000125975
18-06-2014,0.007689248,0.001740822,-0.001257385,0.001008531,0.00485324,0.009293638,-0.000942971,-0.004355756,-0.006043556,0.003537862,-0.003329382,0.001603034,0.001473135,0.002241896,0.002133381,0.000160397,0.000605945,-0.000264709,0.000691938,0.000601202,0.000168183,-0.000498771
19-06-2014,0.001276663,0.004349859,0.007185454,0.007391303,0.006771296,0.016101691,-0.000603675,-0.015549104,0.001275895,0.000196549,0.015756404,0.000580549,-0.000053619,-0.000526354,0.001681587,0.002289138,0.00259561,0.000240255,0.003285185,0.002642337,0.001374439,0.002029181
20-06-2014,0.001728556,0.002507096,-0.004766945,-0.001676735,-0.002927106,-0.000764557,0.001135849,0.004606401,-0.012100852,-0.000215081,-0.008951279,0.000357547,-0.000082872,0.000467005,0.000639614,-0.0012245,-0.001357685,0.000687357,0.000679282,0.001045555,0.000851324,0.000328801
23-06-2014,-0.000132468,-0.003616683,-0.005690698,-0.006662619,-0.003304393,0.001293024,-0.016924733,-0.001226925,0.003474524,-0.000221085,0.006223083,0.000318253,0.000170611,0.000656604,0.000005198,0.001361855,0.001442979,0.000001437,0.00120942,0.000804151,0.000688922,0.000003067
24-06-2014,-0.006456104,-0.00198563,0.000613245,0.001728184,-0.001115901,0.000452749,0.00331966,0.005005935,0.009790292,-0.00952914,-0.003770689,0.001329964,0.001480652,0.00253929,0.000587249,0.000004337,0.000536474,0.000672519,0.000178954,0.001709856,0.000053896,-0.000478514
25-06-2014,0.004885532,-0.007906442,-0.012861384,-0.007101979,-0.01261309,-0.00715537,-0.000609434,-0.005352744,-0.006327798,0.000820389,-0.005681161,0.001164851,0.001356961,0.001556715,0.001002204,0.002468202,0.002340151,-0.000014365,0.000118136,0.001755698,-0.00074881,-0.000934682
26-06-2014,-0.00117955,0.000222738,-0.004712246,-0.006389603,0.002031364,0.002739486,0.014377036,0.007336955,0.006678728,0.003738666,0.011469322,0.001457442,0.001714238,0.00222249,0.001239681,0.001743991,0.000935945,0.000714425,-0.000750319,0.000788198,-0.000107875,0.000448572
27-06-2014,0.00190905,0.003357327,-0.000594821,0.001046887,-0.002651615,-0.014044013,0.001020695,0.000548921,-0.003283498,0.004216439,-0.003531645,-0.000357438,-0.000257191,-0.001376181,0.000139951,-0.001153835,-0.0006649,0.000888191,0.000204407,-0.000272446,-0.000065929,-0.002044923
30-06-2014,-0.000372336,-0.00204863,-0.003194195,0.001822047,-0.003326726,0.00443533,-0.001327236,0.006887022,0.006865956,0.003423254,-0.009096807,0.000848303,0.000912002,0.00116791,0.000885903,0.000146044,0.00039138,-0.000086775,0.000248821,0.000091359,0.000113875,-0.00162509
01-07-2014,0.00665559,0.008707608,0.008617832,0.007026967,0.007687681,0.010764889,0.000000431,-0.00025868,-0.001604515,0.00000066,-0.003685049,-0.001925433,-0.002067751,-0.002908541,-0.002239585,0.000422157,0.00035627,0.000917574,0.000214123,-0.000669696,0.000287627,0.000213176
02-07-2014,0.000658571,0.00197514,-0.003682981,0.000894332,0.000762804,0.002851824,0.015357055,0.002910901,0.008111088,0.004201508,0.014680125,-0.002503687,-0.002929343,-0.003980954,-0.002176992,-0.001440582,-0.002096959,0.000309491,-0.00004427,-0.000779538,0.000017974,0.00111966
03-07-2014,0.005464577,0.007139557,0.0101091,0.011851277,0.006676885,-0.001411539,-0.000772285,0.00428402,-0.002140951,-0.000176218,0.006548879,-0.001027162,-0.001155604,-0.000977914,-0.001379307,0.00035337,0.000376394,-0.000069484,-0.000412132,-0.000563777,0.000017974,0.00086759
04-07-2014,0.000005037,0.000122349,-0.004665781,-0.00203109,-0.007294348,0.005771579,0.000633844,-0.00068366,-0.000651639,0.000516073,0.006123898,0,,,,0.001333028,0.001420509,-0.00050444,-0.000283368,,,0.000284625
