Date,SPX,LGTRTRUU ,LGDRTRUU ,LG30TRUU ,CCMP,SPTSX,MEXBOL,IBOV,IPSA,MERVAL,IGBVL,FTSE 100,CAC 40,DAX ,IBEX ,FTSEMIB ,AEX ,OMX,RTS,SMI,NKY ,HSI,KOSPI ,TWSE ,JCI ,FBMKLCI ,ASX,NZSE,STI ,CL1 ,HG1 ,GOLD,S1 
7/6/01,-0.02801828,-0.003539168,0.000735118,-0.004618274,-0.075457111,-0.018555737,0.007418966,-0.045888567,0.010410029,-0.084084426,-0.015124943,-0.029368088,-0.044208089,-0.032934536,-0.043331693,-0.013843199,-0.018620414,-0.06663454,-0.015716774,-0.037761088,-0.052472301,-0.003306199,-0.02827218,-0.036794955,-0.010895021,0.055465929,-0.039856041,-0.015145907,-0.03923939,0.072010536,-0.001420455,-0.017129445,0.025576842
7/13/01,0.020854608,0.007116406,0.005372822,-0.025130483,0.03944311,0.022333323,-0.040055689,0.012270917,-0.024957664,-0.116688478,-0.004994438,0.010493696,0.00516337,0.011180674,-0.023564384,-0.012743206,-0.018629792,0.022704496,-0.058608347,-0.004398722,0.003979531,-0.030197978,-0.053338641,-0.048162786,0.02988544,-0.009264074,0.012618915,-0.00111528,-0.003911214,-0.05914132,-0.004987542,0.004122944,0.053109825
7/20/01,-0.003980999,0.01706083,0.014741488,0.009820182,-0.026942731,-0.015269949,-0.009788738,0.000983998,0.009700128,0.015169398,0.002073339,-0.027445613,-0.029184561,-0.028046487,2.40848E-05,-0.023980762,-0.027727819,-0.015995744,-0.022327869,-0.001629235,-0.036829786,-0.02497554,-0.019849667,-0.060976776,0.032857084,0.043714286,-0.004653888,0.004467392,-0.015183915,-0.038333555,-0.008608375,0.010048466,-0.051091661
7/27/01,-0.004162759,0.001522484,0.002901156,-0.001094215,-0.000147889,0.00446312,0.020591721,-0.013003271,0.023297502,-0.034437344,0.000120938,0.002965656,0.017557522,-0.001597372,-0.01054419,0.016633272,-0.003709749,0.010254283,0.024419086,-0.024718617,-0.009306387,-0.009762431,0.006340164,0.023478643,-0.029787876,-0.003783467,-0.026599581,0.015649346,-0.003483571,0.054375682,-0.02924185,-0.009300662,0.038561377
8/3/01,0.007049121,0.005461039,0.003234799,0.009881791,0.018196625,0.00804471,0.027333002,-0.005177916,0.01072015,-0.032620486,0.025888854,0.026392538,0.012830198,-0.003303533,0.041443926,0.010699418,0.013578646,0.020479339,-0.027430752,0.017157608,0.036933405,0.007108869,0.049675924,0.047480072,-0.027719781,0.019792616,0.033795081,-0.009251161,0.013007573,0.021962815,0.004441162,0.003730652,-0.046658587
8/10/01,-0.020121202,0.013678339,0.010319243,0.012870921,-0.054632306,-0.012930254,-0.011167719,0.005525081,0.021275374,0.059245524,-0.010952623,-0.021942036,-0.037518663,-0.054159529,-0.043149164,-0.019946365,-0.023602005,-0.04588598,-0.007182833,-0.037689986,-0.04228927,-0.041884408,-0.023754931,-0.011938962,0.001203458,-0.017119541,-0.001117408,-0.000272591,-0.000685373,0.015448484,-0.022405717,0.022096277,0.053425167
8/17/01,-0.023970911,0.016089566,0.010660751,-0.0018841,-0.046803608,-0.018745593,-0.063854738,-0.064629506,0.005496796,-0.052673899,0.006568205,-0.015804531,-0.014267543,-0.039678203,-0.000353592,-0.018241364,-0.014192181,-0.020362765,-0.011392594,0.005510666,-0.024980808,-0.00093535,0.045153006,0.035427779,-0.000815162,0.011811584,-0.021078079,-0.002894042,0.000553365,-0.050074411,0.035612072,0.016974044,-0.028831706
8/24/01,0.019566861,-0.003561593,-0.002312864,0.00421798,0.026318908,0.016812983,0.031392588,-0.00330885,-0.001008212,0.006623485,0.006040175,0.024007034,0.028718912,0.031178006,0.040684914,0.025267938,0.030434141,0.048870553,0.068093208,0.008671007,-0.024698925,-0.056389913,-0.020308444,-0.073348708,0.013462255,0.040509636,0.005273163,0.009172004,-0.010496777,0.008212066,-0.004382768,-0.023185244,-0.052938569
8/31/01,-0.044302935,0.005556142,0.006106739,0.006116082,-0.059858283,-0.030708014,-0.01666827,-0.012423481,0.003249176,0.010369625,-0.018785366,-0.023464343,-0.047317314,-0.037700422,-0.026036805,-0.038145437,-0.028503436,-0.056414727,-0.00063268,-0.020391086,-0.041395647,-0.001785523,-0.043437492,0.04516083,-0.012927159,0.006262657,-0.021869798,-0.007778542,0.005707586,0.011090687,-0.00661038,0.005664702,0.002610286
9/7/01,-0.043082144,-0.005520569,-0.003617737,-0.000863903,-0.067432191,-0.00412379,-0.076728447,-0.046654346,-0.01360353,-0.063861434,-0.019358884,-0.052761596,-0.060621559,-0.092314192,-0.074047886,-0.085472175,-0.074494403,-0.077385505,0.00872479,-0.050938329,-0.018532534,-0.065801662,0.018124638,-0.047055755,0.018773338,0.013715971,-0.012669731,-0.036380791,-0.033816389,0.030058392,-0.039839917,-0.004565801,-0.03339828
