"dates","treehier","leafs","median_degree"
"10/2015",9.35278713056491e-05,0.0343915343915344,2
"11/2015",8.50448611642641e-05,0.0317460317460317,2
"12/2015",5.80113702285648e-05,0.0238095238095238,2
"01/2016",9.10640180046573e-05,0.037037037037037,1
"02/2016",7.73484936380864e-05,0.0317460317460317,2
"03/2016",8.9031339031339e-05,0.0317460317460317,2
"04/2016",8.37942014412603e-05,0.037037037037037,1
"05/2016",6.90287033899369e-05,0.0291005291005291,2
"06/2016",9.02399092444341e-05,0.037037037037037,1
"07/2016",7.45812264136872e-05,0.0264550264550265,2
"08/2016",6.47500647500648e-05,0.0291005291005291,2
"09/2016",6.75119158531481e-05,0.0264550264550265,2
"10/2016",5.96025700628211e-05,0.0264550264550265,2
"11/2016",9.19033177097693e-05,0.037037037037037,1
"12/2016",7.87742723226594e-05,0.0317460317460317,2
"01/2017",6.35938135938136e-05,0.0264550264550265,2
"02/2017",8.57338820301783e-05,0.0343915343915344,2
"03/2017",8.6333419666753e-05,0.037037037037037,1
"04/2017",5.52132335078072e-05,0.0264550264550265,2
"05/2017",7.98785845514817e-05,0.0317460317460317,2
"06/2017",9.77599016814703e-05,0.037037037037037,1
"07/2017",8.86053517632465e-05,0.0343915343915344,2
"08/2017",7.63125763125763e-05,0.0317460317460317,2
"09/2017",5.86214577984125e-05,0.0264550264550265,2
"10/2017",7.79577894005755e-05,0.0291005291005291,2
"11/2017",8.1789555473766e-05,0.0317460317460317,2
"12/2017",0.000104413716979162,0.037037037037037,1
"01/2018",8.9031339031339e-05,0.0317460317460317,2
"02/2018",6.96422918645141e-05,0.0291005291005291,2
"03/2018",7.09027858349125e-05,0.0291005291005291,2
"04/2018",6.8157962894805e-05,0.0264550264550265,2
"05/2018",7.78416078962527e-05,0.0264550264550265,2
"06/2018",9.45166821944073e-05,0.037037037037037,1
"07/2018",8.21827744904668e-05,0.0317460317460317,2
"08/2018",7.15502998608021e-05,0.0291005291005291,2
"09/2018",7.09521782318717e-05,0.0343915343915344,2
"10/2018",8.9031339031339e-05,0.037037037037037,1
"11/2018",8.34167500834168e-05,0.0343915343915344,2
"12/2018",8.10142990237777e-05,0.0317460317460317,2
"01/2019",6.62558802093686e-05,0.0264550264550265,2
"02/2019",5.93542260208927e-05,0.0264550264550265,2
"03/2019",9.62500962500963e-05,0.0396825396825397,1
"04/2019",9.03342366757001e-05,0.0343915343915344,2
"05/2019",9.64506172839506e-05,0.0343915343915344,2
"06/2019",8.53387950162144e-05,0.0343915343915344,2
"07/2019",8.0253601380362e-05,0.0317460317460317,2
"08/2019",7.59734093067426e-05,0.0317460317460317,2
