Dates,SPX ,CCMP ,SPTSX ,MEXBOL ,IBOV ,IPSA ,MERVAL ,SPBLPGPT ,IGBC,UKX ,CAC ,DAX ,IBEX ,FTSEMIB ,AEX ,OMX ,RTSI$ ,SMI ,NKY ,HSI ,KOSPI ,TWSE ,JCI ,FBMKLCI ,STI ,ASX ,NZSE 
02-20-01,-0.017508886,-0.045132487,-0.026713934,-0.019523649,-0.009395967,0.001780281,-0.031973412,-0.002838954,NA,-0.01886739,-0.006468794,-0.003194115,-0.018504453,-0.015603341,-0.002026774,-0.006542438,-0.005826303,-0.008181247,0.009767238,0.002347001,0.02002705,0.0057085,-0.003356279,0.00279367,0.012739026,-0.015933088,0.013209596
02-21-01,-0.018680921,-0.021542964,-0.021586971,-0.038961908,-0.020105742,-0.006674188,-0.043152772,-0.002136427,NA,-0.001288434,-0.013493674,-0.016185285,-0.00917371,-0.008077117,-0.012761261,-0.006310259,-0.082016061,-0.008929387,-0.011255434,-0.011389789,-0.02362007,-0.003578488,0.014245007,-0.002526601,-0.006179524,-0.002203656,-0.00629279
02-22-01,-0.001953679,-0.010625058,0.008953938,0.003836053,0.020093171,-0.000822556,0.02103721,-0.007952404,NA,0.005127146,-0.00400665,-0.011088362,-0.018232151,-0.009202406,-0.015396994,-0.018477322,0.038891442,0.002040577,-0.002041765,-0.016609167,-0.018880979,-0.032613703,-0.006552405,0.002750879,-0.010869072,0.003424283,-0.010371781
02-23-01,-0.005570956,0.007787113,-0.012931668,-0.005331927,0.015429922,-0.004214776,0.001521541,-0.009289801,NA,-0.009944167,-0.024063556,-0.032811911,-0.007887653,-0.01688108,-0.01514217,-0.022089441,-0.041604646,-0.00596336,0.013119048,0.011976759,0.000188529,-0.005591184,0.003690867,-0.001009648,0.001210166,-0.008662737,0.011461036
02-26-01,0.017338738,0.020123146,0.013853378,0.009841902,0,0.00166971,-0.011534304,0.001607324,NA,-0.004552974,0.017184352,0.018546878,0.013984458,0.010053595,0.016117764,0.027649987,0.029627741,0.006942926,-0.003392431,-0.00329982,0.003079979,-0.001906852,-0.014919959,-0.00255672,0.008125536,-0.003408784,0.000141375
02-27-01,-0.00768933,-0.04459236,-0.009267953,0.00117626,0,0.000998658,-0.019412485,0.0003801,NA,0.004132272,0.004175864,0.005062241,0.008165884,-0.004926854,0.004194285,0.011703004,-0.024024451,0.002347052,-0.010759785,-0.026310559,-0.013329059,-0.007256823,0.002676041,0.000492185,-0.012372598,0.00432602,0.002936072
02-28-01,-0.014412471,-0.02568696,0.001610466,-0.005464065,-0.016624823,0.003829619,-0.02387246,0.001836406,NA,-0.003929477,-0.013008687,-0.001969632,-0.000282641,-0.001322933,5.02248E-05,-0.004264966,0.011598934,0.003068923,-0.013592876,-0.003163803,0.000917217,0,-0.011617903,-0.002674777,0.007351491,-0.004012164,-0.008891087
03-01-01,0.001039832,0.014550912,0.003102119,0.008016389,0.032514936,-0.006452078,0.008567075,-0.001712323,NA,-0.00157274,-0.004881967,-0.01376321,-0.006860171,-0.017588077,-0.009419275,-0.031866079,-0.019675177,-0.018556423,-0.015793672,-0.02932169,0,-0.031293299,-0.010026682,-0.010472042,-0.016446415,-0.002419242,0.005728806
03-02-01,-0.005696042,-0.030572016,-0.012029418,0.008627865,0.009964443,0.005037102,0.020734413,-0.002103736,NA,-0.00849825,-0.009295429,0.005803442,0.008899676,-0.007860392,-0.00247039,0.029731892,0.005247735,-0.003537904,-0.033668117,-0.027828967,-0.032810581,-5.8185E-05,0.004933216,0.001523056,-0.000889012,-0.007673358,0.006890505
03-05-01,0.005841048,0.011871846,0.011473968,-0.003789777,-0.002645073,-0.003633323,0.077899709,-0.005868776,NA,0.012332746,0.014428879,0.00927007,0.012171083,-0.000922793,0.003331899,0.008580847,0.037229342,0.006364518,0.004910529,0.012015792,0.010561788,0.01983992,0,0.004201269,-0.004333735,0.010350587,0.000659783
