"","block","qt"
"124",124,0.0787878787878788
"125",125,0.0212121212121212
"126",126,0.0492424242424242
"127",127,0.113636363636364
"128",128,0.10530303030303
"129",129,0.143181818181818
"130",130,0.164393939393939
"131",131,0.170454545454545
"132",132,0.143939393939394
"133",133,0.165909090909091
"134",134,0.161363636363636
"135",135,0.146212121212121
"136",136,0.125757575757576
"137",137,0.110606060606061
"138",138,0.0992424242424242
"139",139,0.0901515151515151
"140",140,0.0886363636363636
"141",141,0.108333333333333
"142",142,0.101515151515152
"143",143,0.0674242424242424
"144",144,0.106818181818182
"145",145,0.117424242424242
"146",146,0.196969696969697
"147",147,0.19469696969697
"148",148,0.246212121212121
"149",149,0.226515151515152
"150",150,0.157575757575758
"151",151,0.195454545454545
"152",152,0.2
"153",153,0.171969696969697
"154",154,0.137878787878788
"155",155,0.126515151515152
"156",156,0.0681818181818182
"157",157,0.0810606060606061
"158",158,0.121212121212121
"159",159,0.150757575757576
"160",160,0.115909090909091
"161",161,0.0924242424242424
"162",162,0.0462121212121212
"163",163,0.0053030303030303
"164",164,0.00075757575757576
"165",165,-0.0363636363636364
"166",166,-0.021969696969697
"167",167,-0.0424242424242424
"168",168,-0.0121212121212121
"169",169,-0.0227272727272727
"170",170,-0.00606060606060606
"171",171,0.0454545454545455
"172",172,0.0825757575757576
"173",173,0.102272727272727
"174",174,0.0689393939393939
"175",175,0.00454545454545455
"176",176,0.0143939393939394
"177",177,0.0174242424242424
"178",178,0.00227272727272727
"179",179,0.0053030303030303
"180",180,0.0325757575757576
"181",181,0.0651515151515152
"182",182,0.100757575757576
"183",183,0.164393939393939
"184",184,0.110606060606061
"185",185,0.189393939393939
"186",186,0.166666666666667
"187",187,0.143181818181818
"188",188,0.126515151515152
"189",189,0.127272727272727
"190",190,0.132575757575758
"191",191,0.11969696969697
"192",192,0.146212121212121
"193",193,0.0992424242424242
"194",194,0.129545454545455
"195",195,0.149242424242424
"196",196,0.165151515151515
"197",197,0.153787878787879
"198",198,0.134090909090909
"199",199,0.1
"200",200,0.101515151515152
"201",201,0.0856060606060606
"202",202,0.112121212121212
"203",203,0.126515151515152
"204",204,0.140909090909091
"205",205,0.108333333333333
"206",206,0.128787878787879
"207",207,0.171212121212121
"208",208,0.140909090909091
"209",209,0.136363636363636
"210",210,0.0803030303030303
"211",211,0.078030303030303
"212",212,0.0378787878787879
"213",213,0.0143939393939394
"214",214,-0.00984848484848485
"215",215,-0.00833333333333333
"216",216,-0.00454545454545455
"217",217,0.00454545454545455
"218",218,0.0515151515151515
"219",219,0.0666666666666667
"220",220,0.0795454545454545
"221",221,0.139393939393939
"222",222,0.175757575757576
"223",223,0.137121212121212
"224",224,0.172727272727273
"225",225,0.207575757575758
"226",226,0.212121212121212
"227",227,0.209090909090909
"228",228,0.239393939393939
"229",229,0.207575757575758
"230",230,0.137878787878788
"231",231,0.131818181818182
"232",232,0.121212121212121
"233",233,0.137121212121212
"234",234,0.125
"235",235,0.101515151515152
"236",236,0.0712121212121212
"237",237,0.0765151515151515
"238",238,0.0742424242424242
"239",239,0.0606060606060606
"240",240,0.0621212121212121
"241",241,0.028030303030303
"242",242,0.0227272727272727
"243",243,0.0196969696969697
"244",244,0.0628787878787879
"245",245,0.0598484848484849
"246",246,0.123484848484848
"247",247,0.171212121212121
"248",248,0.178030303030303
"249",249,0.195454545454545
"250",250,0.224242424242424
"251",251,0.225757575757576
"252",252,0.161363636363636
"253",253,0.162878787878788
"254",254,0.156060606060606
"255",255,0.139393939393939
"256",256,0.125757575757576
"257",257,0.118939393939394
"258",258,0.100757575757576
"259",259,0.0553030303030303
"260",260,0.121212121212121
"261",261,0.128787878787879
"262",262,0.148484848484848
"263",263,0.175
"264",264,0.153030303030303
"265",265,0.178787878787879
"266",266,0.156818181818182
"267",267,0.228787878787879
"268",268,0.162121212121212
"269",269,0.102272727272727
"270",270,0.0613636363636364
"271",271,0.0424242424242424
"272",272,0.00227272727272727
"273",273,-0.0659090909090909
"274",274,-0.0537878787878788
"275",275,-0.0477272727272727
"276",276,-0.0159090909090909
"277",277,0.00984848484848485
"278",278,-0.0257575757575758
"279",279,0.0234848484848485
"280",280,0.0954545454545455
"281",281,0.0924242424242424
"282",282,0.117424242424242
"283",283,0.0689393939393939
"284",284,0.0954545454545455
"285",285,0.0992424242424242
"286",286,0.146212121212121
"287",287,0.0901515151515151
"288",288,0.123484848484848
"289",289,0.15
"290",290,0.156060606060606
"291",291,0.189393939393939
"292",292,0.168939393939394
"293",293,0.210606060606061
"294",294,0.222727272727273
"295",295,0.228787878787879
"296",296,0.218939393939394
"297",297,0.225
"298",298,0.200757575757576
"299",299,0.207575757575758
"300",300,0.163636363636364
"301",301,0.181060606060606
"302",302,0.114393939393939
"303",303,0.129545454545455
"304",304,0.125
"305",305,0.110606060606061
"306",306,0.145454545454545
"307",307,0.115151515151515
"308",308,0.160606060606061
