"","bloack","america","europe","asia","oceania","commodities","bonds","all_indices"
"32",32,4.4178727936724,3.43044940989737,3.87041813552473,0.705243528457392,2.7986620920606,1.40206775340466,17.8331990282793
"33",33,4.40650736620666,3.40847616804095,3.80195624694671,0.687897922020235,2.82534559696259,1.45325856589587,17.8751413658811
"34",34,4.34470829892177,3.35399292384184,3.83541122552705,0.705388458131946,2.79084665933103,1.44099843342654,17.7568334619072
"35",35,4.29826719533793,3.53544400048117,4.08070107960273,0.820904893355792,2.74183758159273,1.39517926040376,18.2026332028378
"36",36,3.87447983341356,3.51753853854252,3.78277489871103,0.989717333468152,2.70320260345721,1.66499645575309,18.070464381479
"37",37,4.24490615867778,3.84961793659134,3.9274813337941,1.04543888956066,2.68116453430776,1.82749329618736,18.98714111001
"38",38,4.01198183959037,3.63106749291217,3.860487732708,1.01299508907606,2.6774028148405,1.76276634958164,18.8777794003128
"39",39,4.04169680272174,3.37786842302255,3.75765361419331,1.03779822643621,2.7103036658268,1.86703207161011,18.8223729588907
"40",40,4.01110764435365,3.26517008921192,3.87757905090836,1.03391878018736,2.65781654656205,1.90619181479553,18.690834156825
"41",41,3.92287884883212,3.37010538417652,3.80217772619417,1.07913435981377,2.74478237266853,1.85424129098539,18.9980759313836
"42",42,3.96127633544148,3.55821641516327,4.02589703708877,1.05889344494214,2.73443520191855,1.83459195342863,19.3517136111999
"43",43,4.07255833648749,3.58390038614294,4.06555183543977,1.03881065597392,2.66340614640544,1.7892523289942,19.4817860963502
"44",44,4.13258705624655,3.88536401106459,4.17123259967202,0.993569111946241,2.69664642086414,1.79376994467506,20.0009212435262
"45",45,3.97827850065669,3.83585538712353,4.05271829119796,0.966559586250163,2.71023372001993,1.80518266598612,19.6746373153728
"46",46,4.01130504944005,3.90946566202548,4.26632755731,0.982307462353239,2.72965226753349,1.86935510162415,19.9297208602482
"47",47,4.07179905603865,4.17860399081687,4.3771633050609,0.95767200321559,2.73269342548037,1.88871603350814,20.393525087176
"48",48,4.16212012223024,4.09611842281453,4.48813170003666,0.940360477981174,2.73625955680419,1.76486032013213,20.4383856117276
"49",49,4.309425552632,4.25441582606881,4.71003184014149,0.927672357201521,2.70532409373158,1.75183490601073,21.1121493716521
"50",50,4.49649423222666,4.19596164783603,4.64885135744659,0.937423675905437,2.67382029479091,1.71341174135371,20.9552696680997
"51",51,4.36783202515478,4.25984682451989,4.66299908930686,0.977963592793194,2.70225822058267,1.72169708572711,20.8930263374012
"52",52,4.33601133578145,3.98175644425546,4.45724209297285,1.0531360611835,2.68454355404273,1.73608332307422,19.9093842343492
